Kom.;RM;Model;Kolor;Wnętrze;Klient;Dyspozycja na Dealera;Dealer;VIN;Stan;Pakiety;oferta internetowa;Tydzień planu;IFA/KNP;Zarezerwowany;Zamówione;Zarez/Zam.;Właściciel;Plan;Odpowiedź z IFA;Data sprzedaży;Oznaczenie wyboru;Akcja marketingowa;Rodzaj dyspozycji;Odbiorca;BID;Nr silnika;Data zamówienia;Ter. realizacji;Geo. obszar;Termin produkcji;MC;Grupa docelowa;Utworzenie komisji;Rodzaj sprzedaży;F. dla imp.;Rodzaj płatności
453401;2018;3V325Y;Z5Z5;LA;xx;;20580;;PKBVS;4A3 8GV C42 NZ4 PDA PF1 PK2 PKV PLC YOQ;;2017W23;2228879;;;;20580;;16.05.2017;;;;;20580;456;;25.04.2017;;Warszawskie;;;;25.04.2017;;;Brak SM
451367;2017;3V3355;8E8E;LA;xx;;20580;TMBAH7NP6H7558966;WKBVS4;8M1 C41 PJA PK7 WQ1;;2017W21;2023448;;;;20580;;28.04.2017;;FLOTA SB;;;20580;456;CRL 812295;18.04.2017;22.06.2017;Warszawskie;15.05.2017;;;18.04.2017;OK.;16.05.2017;SM60
457442;2018;3V335C;8T8T;EX;x;;20580;;DKBVS;3U3 3Y1 9T1 C42 NZ4 PJA PK7 W03 YOQ;;2017W25;25*;;;;20580;;18.05.2017;;FLOTA PH;;;20580;456;;18.05.2017;28.07.2017;Warszawskie;;;;18.05.2017;;;Brak SM
402125;2017;3V338C;1Z1Z;EX;qds;12.04.2017;20580;TMBAJ7NP8H7541462;AHBVS;4A3 8GV 9T1 C41 P05 PJA PK7 PKL PKV PWB W03;;2017W11;1131539;;;;20580;;03.03.2017;;EXPO;PR0;;20580;456;DFC 211650;;;Warszawskie;15.03.2017;;;10.02.2017;NIE RUSZAĆ;16.03.2017;
451373;2017;3V338X;1Z1Z;EX;asd;;20580;TMBCJ7NP2H7559237;WKBAS4;1N7 3Y1 4A4 8GV 8M1 9T1 C41 KA2 PFC PH2 PJA PJU PK7 PK9 PKV PNC PT3 PWB PWD RA3 RAG W03;;2017W21;2033453;;;;20580;;28.04.2017;;FLOTA JK;;;20580;456;DFC 223195;18.04.2017;22.06.2017;Warszawskie;16.05.2017;;;18.04.2017;;16.05.2017;Brak SM
454361;2018;3V33LD;8E8E;LA;asd;;20580;;DKBVS;C42 NZ4 PJA PK7 WQ1 YOQ;;2017W22;30*;;;;20580;;05.05.2017;;LZ;;;20580;456;;27.04.2017;20.06.2017;Warszawskie;;;;27.04.2017;;;SM60
